TOP,SCORE,ARM_CODART,ART_NOMBRE,PRINCIPIO_ACTIVO,FRACCION_MEDINA,COD_PROD_DIGEMID,NOMBRE_DIGEMID,CONCENT_DIGEMID,IFA_DIGEMID,FRACCION_DIGEMID
1,0.8,173184.0,DOLOCORDRALAN EXTRA FORTE x 10 TAB,DICLOFENACO + PARACETAMOL TABLETA,10.0,52563,DOLOCORDRALAN,325 mg,PARACETAMOL,10
1,0.8026,177219.0,CICLOSTERONA FUERTE 50mg x 1ml AMP,<NINGUNO>,1.0,40592,CICLOSTERONA FUERTE®,50 mg/ mL,PROGESTERONA,1
1,0.8022,187333.0,CODIPRONT x 10 CAP,CODEINA 60MG INY,10.0,44681,CODIPRONT,30 mg + 10 mg,CODEINA + FENILTOLOXAMINA RESINATO,10
1,0.8382,187440.0,CODIPRONT x 60ml JBE,CODEINA 222.21MG SUSP,1.0,49400,CODIPRONT,11.11 mg + 3.67 mg/ 5 mL,CODEINA RESINATO + FENILTOLOXAMINA RESINATO,1
2,0.8382,187440.0,CODIPRONT x 60ml JBE,CODEINA 222.21MG SUSP,1.0,53269,CODIPRONT,11.11 mg + 3.67 mg/ 5 mL,CODEINA RESINATO + FENILTOLOXAMINA RESINATO,1
1,0.8022,187547.0,CODIPRONT EXPECT. x 10 CAP,CODEINA 60MG INY,10.0,44681,CODIPRONT,30 mg + 10 mg,CODEINA + FENILTOLOXAMINA RESINATO,10
1,0.8566,194319.0,ALERGICAL SF GOTAS 15ml,PSEUDOEFREDRINA 30MG GOTAS,1.0,39843,ALERGICAL SF,2 mg + 30 mg/ 5 mL,CLORFENAMINA MALEATO + CLORHIDRATO DE PSEUDOEFEDRINA,1
2,0.8566,194319.0,ALERGICAL SF GOTAS 15ml,PSEUDOEFREDRINA 30MG GOTAS,1.0,41840,ALERGICAL SF,2 mg + 30 mg/ 5 mL,CLORFENAMINA MALEATO + CLORHIDRATO DE PSEUDOEFEDRINA,1
3,0.8566,194319.0,ALERGICAL SF GOTAS 15ml,PSEUDOEFREDRINA 30MG GOTAS,1.0,57243,ALERGICAL SF,2 mg + 30 mg/ 5 mL,CLORFENAMINA MALEATO + CLORHIDRATO DE PSEUDOEFEDRINA,1
1,1.0,195219.0,DOLORAL SUSPENSION x 60ml,IBUPROFENO JARABE,1.0,38312,DOLORAL,40 mg/ mL,IBUPROFENO,1
2,1.0,195219.0,DOLORAL SUSPENSION x 60ml,IBUPROFENO JARABE,1.0,61663,DOLORAL,40 mg/ mL,IBUPROFENO,1
3,0.98,195219.0,DOLORAL SUSPENSION x 60ml,IBUPROFENO JARABE,1.0,39684,DOLORAL,100 mg/ 5 mL,IBUPROFENO,1
1,0.8778,196868.0,ISORBIDE ORAL 10mg TAB x 20,<NINGUNO>,20.0,44747,ISORBIDE ORAL,10 mg,DINITRATO DE ISOSORBIDA,20
2,0.8778,196868.0,ISORBIDE ORAL 10mg TAB x 20,<NINGUNO>,20.0,61631,ISORBIDE ORAL,10 mg,DINITRATO DE ISOSORBIDA,20
1,0.9009,197126.0,MAGAL II SUSP x 150ml,MAGALDRATO/SIMETICONA JARABE,1.0,61562,MAGAL D,(540 mg + 40 mg)/ 5 mL,MAGALDRATO + SIMETICONA,1
2,0.8235,197126.0,MAGAL II SUSP x 150ml,MAGALDRATO/SIMETICONA JARABE,1.0,7138,MAGAL II,400 mg + 400 mg/ 5 mL,HIDROXIDO DE ALUMINIO + DIMETICONA + HIDROXIDO DE MAGNESIO,1
3,0.8159,197126.0,MAGAL II SUSP x 150ml,MAGALDRATO/SIMETICONA JARABE,1.0,59688,MAGAL II,(400 mg + 400 mg)/ 5 mL,HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO,1
