ARM_CODART,ART_NOMBRE,Cod_Prod,Nom_Prod_DIGEMID,Concent_DIGEMID,Score
2570747.0,PLIDAN COMPUESTO FORTE 20mg/2500mg AMP. x 5ml,44530,PLIDAN COMPUESTO NF,10 mg + 125 mg,0.68
2571005.0,SULFANIL CREMA x 50gr.,49158,SULFANIL FORTE,1.0 g + 0.6 g,0.63
2571433.0,ZITROZIN 500mg x 3 TAB,35726,ZITROZIN,500 mg,0.63
2573554.0,PROSTEZOSIN 5mg x 30 TAB,53453,PROSTEZOSIN,5 mg,0.73
2575033.0,CLORFENAMINA 10mg/1ml x 10 AMP. FARMASALUD,54939,CLORFENAMINA MALEATO,10 mg/ mL,0.63
2575140.0,XICLOGYNON x 21 TAB,47410,XICLOGYNON,0.15 mg + 0.03 mg,0.79
2575461.0,PENETRO FORTE x 60GR,54880,PENETRO FORTE,15 g + 10 g,0.89
2575568.0,CARBAMAZEPINA 200mg x 100 TAB - IQFARMA,52642,CARBAMAZEPINA,200 mg,0.62
2576147.0,MARTESIA 25mg x 30 CAP - ROEMMERS,47370,MARTESIA 25,25 mg,0.62
2576254.0,DEXLANZOPRAL 30 x 30CAP - ROEMMERS,54244,DEXLANZOPRAL 30 DR,30 mg,0.68
2578810.0,PLENICA 50mg x 30 CAP,55347,PLENICA 50,50 mg,0.75
2580861.0,CLORURO DE POTASIO 20% x 10 AMP - DANY,37125,CLORURO DE POTASIO,14.9 %,0.68
2581119.0,CICLOBENZAPRINA 5mg x 30TAB - EUROFARMA,55017,CICLOBENZAPRINA,5 mg,0.68
2583133.0,CLARITROMICINA 500mg x 100 TAB - AC FARMA,38155,CLARITROMICINA,500 mg,0.63
2583240.0,DEXTROMETORFANO DIEPHAR x 60 UNITOMA,51686,DEXTROMETORFANO BROMHIDRATO,15 mg/ 5 mL,0.73
2584354.0,AMOXIDIN CL 400mg SUSP. x 105 ml,35526,AMOXIDIN CL 400/57,400 mg + 57 mg/ 5 mL,0.77
2585040.0,PARACETAMOL KIDS JARABE x 90ml - GEN FAR,60063,PARACETAMOL + CAFEÍNA,500 mg + 65 mg,0.67
2586154.0,METAMIZOL SODICO 1gr/2ml x 50 AMP - DIPHA SAC,55419,METAMIZOL SODICO,1 g/ 2 mL,0.65
2591019.0,TELDANE 120mg CAJA x 10 TABLETAS,45152,TELDANE 120 MG,120 mg,0.67
2594682.0,VERTINER 24mg x 30 TAB,51202,VERTINER,16 mg,0.63
2594896.0,DOLOCORDRALAN 50mg CAJA x 100 TABS,51992,DOLOCORDRALAN 50,50 mg,0.64
2596696.0,YODOPOVIDONA ESPUMA 7.5% FCO x 120ml (ALKOYODO),43732,YODOPOVIDONA ESPUMA LIMPIADORA,8.5 %,0.66
2596703.0,DEFLAZACORT 6mg x 10 TAB - IQFARMA,41552,DEFLAZACORT,30 mg,0.61
2596917.0,DERMOSUPRIL ESPUMA - MEGALABS,40566,DERMOSUPRIL,0.05 %,0.68
2597275.0,DOLO NEUROBION-NF x 200 CAP,43455,DOLO NEUROBION,,0.8
2598610.0,GLUCONATO DE CALCIO 10%/10ml x 25 AMP - JPS,27425,GLUCONATO DE CALCIO,10 %,0.66
2599075.0,ULCEPACK x 14 BLISTER,52887,ULCEPACK,500 mg + 500 mg + 20 mg,0.65
2599182.0,DICLOFAST FORTE GEL 2% TBO x 50gr,53707,DICLOFAST® FORTE,2 %,0.64
2601605.0,MOBILISIN GEL x 40gr,43946,MOBILISIN,3 % + 2 % + 0.2 %,0.72
2601819.0,HIERRO 90mg + ACIDO FOLICO 1mg - PORTUGAL,55987,HIERRO + ACIDO FOLICO,90 mg + 1 mg,0.78
2602284.0,MUCOTRIM DILAT FORTE 120ml,56693,MUCOTRIM DILAT FORTE,15 mg + 0.01 mg/ 5 mL,0.97
2602391.0,MICOMISIL 1% CREMA x 20 gr,7504,MICOMISIL,1 %,0.63
2603077.0,SULFADIAZINA DE PLATA 1% x 30gr. IQ FARMA,40212,SULFADIAZINA DE PLATA,1 %,0.7
2604626.0,PARACETAMOL 500mg x 100 TAB - LUSA,37112,PARACETAMOL,120 mg/ 5 mL,0.61
2604733.0,CLAVUTRIM CL 12H 875mg/125mg x 14 TAB. REC.,50462,CLAVUTRIM CL 12H,875 mg + 125 mg,0.67
2604947.0,BRONCOBUTOL PLUS JARABE x 120ml,48923,BRONCOBUTOL PLUS,2 mg + 7.5 mg/ 5 mL,0.78
2605419.0,ALERGICAL NEO x 100 TABLETAS,42944,ALERGICAL NEO,(2 mg + 5 mg)/ 5 mL,0.73
2605633.0,TENSIOMAX 5mg x 20 COMP,55141,TENSIOMAX,10 mg,0.66
2605847.0,PANTOMARK 40mg x 15 TAB,44260,PANTOMARK 40,40 mg,0.79
2605954.0,EVACUOL PLUS SOL.RECTAL x 266ml,50048,EVACUOL PLUS,16 g + 6 g/ 100 mL,0.67
2606098.0,UROPOL FORTE 200mg CAJA x 10 TABLETAS,55078,UROPOL FORTE F,200 mg,0.61
2606105.0,EUKENE H 40/25mg CAJA x 30 COMPIRMIDOS,41352,EUKENE H 40/25,40 mg + 25 mg,0.62
2606533.0,PENICILINA PROCAINICA 1000 x 10 AMP - FARMASALUD,54543,BENCILPENICILINA PROCAINICA,1 000 000 UI,0.68
2607112.0,PENICILINA BENZATINICA 1200 x 10 AMP - FARMA SALUD,55541,BENCILPENICILINA BENZATINICA,1 200 000 UI,0.68
2607647.0,DICLOFENACO 75mg x 50 AMP - DIPHASAC,52003,DICLOFENACO SODICO,100 mg,0.68
2609233.0,BRONPAX FORTE 30mg/5ml JBE x 120ml,39549,BRONPAX FORTE,30 mg/ 5 mL,0.67
2609982.0,LIBBERA FEX 120 x 10 TAB,56873,LIBBERAFEX® 120,120 mg,0.84
2610063.0,LIBBERA FEX 180 x 10 TAB,56872,LIBBERAFEX® 180,180 mg,0.84
2610491.0,NEO NISOPREX 15mg/5ml SOL.x 100ml,40321,NEO NISOPREX,15 mg/ 5 mL,0.66
2611933.0,AUDIOMETRIA TONAL,59952,METRONIDAZOL,500 mg/ 100 mL,0.65
2614419.0,PEZONERAS CRESSE,57344,PARAGASEX FRESA,80 mg/ mL,0.62
2614633.0,CETRAXAL PLUS x 10ml GOTAS,38879,CETRAXAL PLUS,3 mg/ mL + 0.25 mg/ mL,0.77
2615212.0,BRIMODUAL-T SP x 5ml GOTAS,49290,BRIMODUAL-T SP,0.2 % + 0.5 %,0.78
2616005.0,ECOGRAFIA DE TESTICULO,59972,CLORURO DE SODIO,0.9 %,0.63
2617547.0,NEURODIOXAFLEX x 208 CAP - BAGO,56822,NEURODIOXAFLEX,50 mg + 50 mg + 50 mg + 0.25 mg,0.75
2617761.0,BIOPSIA BUCAL,55156,BIOPRAL B,40 mg,0.64
2618019.0,SULFANIL CREMA x 20gr.,49158,SULFANIL FORTE,1.0 g + 0.6 g,0.63
2618340.0,BRIMODUAL SP FRASCO x 5ml,49290,BRIMODUAL-T SP,0.2 % + 0.5 %,0.73
2618982.0,AMPICILINA 1gr x 10 AMP. - CORVAL,47880,AMPICILINA + SULBACTAM,1 g + 0.5 g,0.62
2619133.0,ROXTRIM FORTE x 100 COMP - ROXFARMA,42532,ROXTRIM FORTE,400 mg + 80 mg/ 5 mL,0.67
2619240.0,PARAMIDOL 500mg x 100 TAB,56890,PARAMIDOL 1000,1 g,0.67
2621940.0,DOLOCORDRALAN EXTRA FORTE x 204 CAPSULAS,50912,DOLOCORDRALAN EXTRA FORTE,500 mg + 50 mg,0.77
2622084.0,DOLMACAF INFANTIL 100mg/15ml - CAFERMA,55187,DOLMACAF® INFANTIL,100 mg/ mL,0.65
2623198.0,PYRIDIUM-X FORTE x 100 TAB,55080,PYRIDIUM-X FORTE,200 mg,0.85
2623205.0,METROZOL NF OVULOS x 6 UNIDADES,50482,ELECTRORAL NF SABOR A ANIS,,0.63
2623312.0,PLASYODINE 120ml SOLUCION TOPICA,50855,PLASYODINE BUCAL,10 %,0.68
2623419.0,ORFENADRINA 100mg x 100 TAB - AC FARMA,40495,ORFENADRINA CITRATO,60 mg/ 2 mL,0.61
2623526.0,CEFUROXIMA 500mg x 50 TAB - IQ FARMA,51036,CEFUROXIMA 500 MG,500 mg,0.63
2624098.0,"PROLONG 1000 NF 9,6% FCO x 10g",39001,PROLONG 1000 NF,9.6 %,0.8
2624105.0,TAPSIN FLU CALIENTE DIA x 60 SOB,56583,TAPSIN FLU CALIENTE DIA,500 mg + 200 mg + 10 mg,0.94
